,position (um),Ecad intensity,Abi intensity
672,46.2971,19.2738,2.15738
673,46.366,22.5763,2.26217
674,46.4349,23.0604,1.91756
675,46.5038,21.0425,2.26036
676,46.5727,19.9607,1.43585
677,46.6416,19.6174,0.97712
678,46.7105,18.7767,1.163
679,46.7794,15.6754,1.02038
680,46.8483,13.278,1.20503
681,46.9172,14.0868,1.151
682,46.986,12.733,1.01495
683,47.0549,13.5931,0.91176
684,47.1238,10.0034,0.89042
685,47.1927,9.8373,1.03632
686,47.2616,10.4562,1.03025
687,47.3305,10.3487,0.92263
688,47.3994,10.0624,0.8522
689,47.4683,9.924,0.76916
690,47.5372,11.7683,0.9098
691,47.6061,10.3244,1.01291
692,47.675,10.956,1.09078
693,47.7439,8.9951,1.10874
694,47.8128,9.5151,0.83918
695,47.8817,9.0405,1.09958
696,47.9506,9.8681,0.72292
697,48.0195,10.0737,1.26839
698,48.0884,12.1658,1.25783
699,48.1573,11.1455,1.01528
700,48.2261,10.9733,1.23396
701,48.295,9.0809,0.93502
702,48.3639,7.8119,1.23942
703,48.4328,5.9953,1.00446
704,48.5017,7.251,0.75744
705,48.5706,7.4849,0.78525
706,48.6395,7.8253,1.00842
707,48.7084,7.1659,0.7138
708,48.7773,7.0462,0.96785
709,48.8462,7.787,0.33154
710,48.9151,8.3769,0.71542
711,48.984,10.3775,0.80659
712,49.0529,10.3208,0.61896
713,49.1218,8.6476,0.71673
714,49.1907,8.7078,0.86073
715,49.2596,11.4606,1.01301
716,49.3285,12.5048,1.22209
717,49.3974,14.5559,1.24009
718,49.4662,14.9392,1.28073
719,49.5351,16.1908,1.66144
720,49.604,16.9435,1.16555
721,49.6729,19.309,1.62365
722,49.7418,18.1142,1.63867
723,49.8107,18.7203,2.5814
724,49.8796,18.3907,3.44467
725,49.9485,15.5725,3.30709
726,50.0174,15.0185,2.76976
727,50.0863,15.2889,2.97621
728,50.1552,13.152,2.58774
729,50.2241,16.2079,2.39465
730,50.293,14.208,2.2835
731,50.3619,16.149,1.90113
732,50.4308,18.1924,1.82905
733,50.4997,17.019,1.6286
734,50.5686,14.6836,2.28117
735,50.6375,17.468,3.06537
736,50.7063,17.6888,3.63341
737,50.7752,19.2551,3.10416
738,50.8441,16.6139,3.66415
739,50.913,17.0791,3.18764
740,50.9819,13.1621,3.94279
741,51.0508,13.4877,3.18736
742,51.1197,12.6609,3.12844
743,51.1886,15.1735,3.30416
744,51.2575,14.4603,3.15513
745,51.3264,12.8994,2.40237
